station,obs,latitude,longitude,stationAltitude,station_id,station_description,time,stationIndex,Pressure_surface,Temperature_surface,Visibility_surface,Wind_speed_gust_surface
0,0,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-12 06:00:00,0,100563.79,301.08685,24135.031,7.705615
0,1,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-12 09:00:00,0,100558.445,306.8585,24135.246,6.705767
0,2,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-12 12:00:00,0,100432.15,308.7,24135.238,5.651316
0,3,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-12 15:00:00,0,100348.86,305.7,24134.918,5.335357
0,4,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-12 18:00:00,0,100423.7,299.4,24135.064,10.519565
0,5,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-12 21:00:00,0,100554.33,294.4925,24134.914,4.6209803
0,6,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 00:00:00,0,100462.61,293.65097,24135.182,7.500014
0,7,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 03:00:00,0,100402.72,293.1389,24135.057,8.10372
0,8,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 06:00:00,0,100392.14,300.5451,24134.898,5.9009643
0,9,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 09:00:00,0,100330.26,305.7,24135.205,4.300195
0,10,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 12:00:00,0,100265.586,303.2,24134.9,0.9098331
0,11,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 15:00:00,0,100120.68,303.3,24134.863,4.9289594
0,12,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 18:00:00,0,100232.336,299.9415,24134.87,8.042422
0,13,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-13 21:00:00,0,100314.8,293.92813,24134.701,5.219836
0,14,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 00:00:00,0,100098.836,294.5,24135.094,8.8
0,15,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 03:00:00,0,100164.89,294.16104,24134.912,6.301859
0,16,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 06:00:00,0,100206.6,298.03632,24134.975,4.430869
0,17,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 09:00:00,0,100169.836,303.33145,24135.102,4.513961
0,18,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 12:00:00,0,100055.766,304.85977,24134.986,4.3
0,19,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 15:00:00,0,99997.2,303.33344,24134.736,5.220299
0,20,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 18:00:00,0,100049.04,296.8,23259.309,9.203674
0,21,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-14 21:00:00,0,100033.516,293.59998,24134.918,10.20391
0,22,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 00:00:00,0,100060.86,292.33893,24134.871,7.6036134
0,23,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 03:00:00,0,100125.25,292.8,24135.113,9.201067
0,24,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 06:00:00,0,100105.69,300.8,24135.092,8.200976
0,25,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 09:00:00,0,100096.14,306.9,24135.176,7.0011683
0,26,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 12:00:00,0,99995.04,308.41803,24135.084,5.914697
0,27,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 15:00:00,0,99974.414,305.0773,24134.875,6.737466
0,28,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 18:00:00,0,100058.63,298.85458,24134.654,11.811723
0,29,51.75,39.25,0.0,b'GridPointRequestedAt[51.665N_39.196E]',b'GridPointRequestedAt[51.665N_39.196E]',2022-08-15 21:00:00,0,100179.44,297.9317,24135.1,13.50063
